epoch,train_accuracy,test_accuracy,train_loss,test_loss,learning_rate
1,23.53,28.41,2.0962361624783568,2.1149533724784852,0.1
2,31.86,26.79,1.7912863096617677,2.0324974060058594,0.1
3,34.654,34.56,1.7224683965868353,1.776435581445694,0.1
4,37.76,38.5,1.6595609401498,1.6225516045093535,0.1
5,41.132,28.65,1.5775667843611345,2.099825543165207,0.1
6,42.794,22.03,1.532771612677123,88.14668392181396,0.1
7,44.196,34.53,1.5006057277055043,1.8833341550827027,0.1
8,45.796,36.84,1.4641418710084217,2.0196261632442476,0.1
9,50.626,46.67,1.3442233459418997,1.4794007313251496,0.05
10,51.648,49.16,1.3193546472607975,1.4766512548923492,0.05
11,52.824,40.56,1.29945796911064,1.6667719757556916,0.05
12,52.962,48.48,1.2851975619640497,1.3891708993911742,0.05
13,53.85,40.3,1.2658202565844408,1.6660052454471588,0.05
14,54.438,28.43,1.2513642134263998,2.5999938440322876,0.05
15,57.62,34.84,1.1652918854332945,2.136115177869797,0.025
16,57.986,55.22,1.1589753397590363,1.25858047246933,0.025
17,58.436,59.1,1.1524790627572237,1.146838080883026,0.025
18,58.646,42.63,1.1492791863353662,1.8821924281120301,0.025
19,58.816,37.71,1.1390881538391113,2.1531448912620545,0.025
20,58.856,52.85,1.1335237328048862,1.2643110978603362,0.025
21,59.364,46.17,1.1224239349670118,1.8033912360668183,0.025
22,61.5,50.95,1.0667247689898363,1.526284592151642,0.0125
23,61.814,54.63,1.0566567665780597,1.4079680240154266,0.0125
24,62.21,48.76,1.0479874124612345,1.4487015974521638,0.0125
25,61.92,48.56,1.047082220501912,1.4822056913375854,0.0125
26,63.998,64.41,0.9999531041020933,0.9796108591556549,0.00625
27,64.228,62.87,0.98766887309911,1.0014532899856567,0.00625
28,64.464,63.52,0.9837537865199701,1.0276498782634735,0.00625
29,64.564,51.2,0.9767487754907145,1.6225584256649017,0.00625
30,65.018,61.72,0.9686263603017763,1.0517436641454696,0.00625
31,66.344,66.16,0.9308252551061723,0.9274586111307144,0.003125
32,66.644,66.73,0.9256808922418853,0.9180542874336243,0.003125
33,66.764,64.52,0.9192577585234971,0.9600748354196549,0.003125
34,67.058,67.24,0.914783479155177,0.8944555628299713,0.003125
35,67.122,64.92,0.9117202931048011,0.9629479593038559,0.003125
36,67.214,64.44,0.9083180863534093,0.9906045585870743,0.003125
37,67.448,63.86,0.9036981774413068,0.9969825494289398,0.003125
38,67.616,66.2,0.899017151054519,0.926413004398346,0.003125
39,68.436,67.72,0.8784504188296131,0.8815463322401047,0.0015625
40,68.584,67.76,0.8716609432264362,0.8759369564056396,0.0015625
41,68.648,67.28,0.8710631334873111,0.892654150724411,0.0015625
42,68.714,68.13,0.864105389093804,0.8721711355447769,0.0015625
43,69.056,68.01,0.8592086373387701,0.8741171491146088,0.0015625
44,68.968,68.43,0.860503726603125,0.854659274816513,0.0015625
45,69.17,68.05,0.8556655857264234,0.8746336358785629,0.0015625
46,69.506,69.02,0.8474909271425604,0.8503218615055084,0.0015625
47,69.624,69.37,0.8446508562168502,0.846901209950447,0.0015625
48,69.626,68.96,0.844840670028306,0.8526606994867325,0.0015625
49,69.836,68.85,0.835361728125521,0.8647932130098342,0.0015625
50,69.9,68.12,0.8369689502984362,0.8710380816459655,0.0015625
51,70.082,69.83,0.8317987429516395,0.8277246659994125,0.0015625
52,70.12,69.09,0.8275945604304829,0.8597147506475449,0.0015625
53,70.586,69.17,0.818536161309313,0.862527659535408,0.0015625
54,70.606,69.7,0.8215845265351903,0.8395192968845367,0.0015625
55,70.848,68.6,0.8163672144455678,0.860749540925026,0.0015625
56,71.234,70.36,0.8026750074018298,0.8180770045518875,0.00078125
57,71.466,71.36,0.7934458944803614,0.7900288915634155,0.00078125
58,71.714,71.13,0.7911058531697753,0.8132435727119446,0.00078125
59,71.902,71.44,0.7871271989229695,0.7957495194673538,0.00078125
60,71.84,71.1,0.7869081670975746,0.7962722080945969,0.00078125
61,72.184,71.25,0.7785551529711164,0.801111820936203,0.00078125
62,72.218,70.97,0.7777204406840722,0.8200221139192582,0.00078125
63,72.414,71.57,0.7787251545645087,0.7936515074968338,0.00078125
64,72.432,71.38,0.7744327471079424,0.7923393911123275,0.00078125
65,72.44,71.92,0.7737425332484038,0.7895270019769669,0.00078125
66,72.664,72.19,0.7700471321640112,0.7751492518186569,0.00078125
67,72.68,72.01,0.7674115451095659,0.7910480606555939,0.00078125
68,72.656,72.14,0.7649517214816549,0.7793943059444427,0.00078125
69,72.986,72.4,0.7634241143455895,0.7883428293466568,0.00078125
70,72.676,72.37,0.7609406302652091,0.7781608074903488,0.00078125
71,72.656,72.07,0.7639825209174924,0.7825351232290267,0.00078125
72,73.01,72.98,0.7543299935967721,0.7572630965709686,0.00078125
73,73.218,71.44,0.7539088633816565,0.8017175766825676,0.00078125
74,73.226,72.48,0.7510576813727083,0.7650841304659843,0.00078125
75,73.402,72.78,0.7470354898201536,0.7678753370046616,0.00078125
76,73.422,72.15,0.748115581014882,0.7814205431938172,0.00078125
77,73.676,73.32,0.7383842971318823,0.7442168101668358,0.000390625
78,74.022,73.01,0.7323568237712011,0.7577760362625122,0.000390625
79,73.99,73.21,0.7336198012237354,0.7515640735626221,0.000390625
80,74.11,73.87,0.7309910650448421,0.7366699296236038,0.000390625
81,74.19,73.68,0.7296085022294613,0.7466412410140038,0.000390625
82,74.206,73.31,0.7255187888279595,0.7482902628183364,0.000390625
83,74.266,73.29,0.7266544793420435,0.755145363509655,0.000390625
84,74.174,73.71,0.7232057852360904,0.7439287000894547,0.000390625
85,74.406,74.35,0.7217139733569397,0.7300978630781174,0.0001953125
86,74.542,74.29,0.7132986000431772,0.7299077275395394,0.0001953125
87,74.544,73.91,0.7178249309587357,0.7413844203948975,0.0001953125
88,74.776,74.11,0.7128122752279882,0.7351641201972962,0.0001953125
89,74.682,74.38,0.7116088786393481,0.730456359386444,0.0001953125
90,74.626,74.17,0.7137009868841342,0.7313471984863281,0.0001953125
91,74.45,74.33,0.716074090784468,0.7250710543990135,0.0001953125
92,74.822,74.2,0.7117875700106706,0.7244851043820382,0.0001953125
93,74.584,74.4,0.7104695911145271,0.7235148155689239,0.0001953125
94,74.87,74.61,0.7106419534939329,0.7242879608273506,0.0001953125
95,74.794,74.2,0.7133906564444227,0.7210506299138069,0.0001953125
96,74.8,74.16,0.7100339495312528,0.7270911481976509,0.0001953125
97,74.87,74.37,0.7075652726318525,0.7281035527586937,0.0001953125
98,74.81,74.34,0.7091029030282784,0.7209105831384659,0.0001953125
99,75.032,74.62,0.7012174190462702,0.7229994285106659,9.765625e-05
100,75.076,74.4,0.7016118690180961,0.7221188944578171,9.765625e-05
101,75.082,74.53,0.7006037873990091,0.7189339536428452,9.765625e-05
102,75.144,74.76,0.703138667146873,0.7171342688798904,9.765625e-05
103,74.98,74.48,0.7032553382084498,0.7172147798538208,9.765625e-05
104,74.892,74.76,0.7024602322169887,0.7182235407829285,9.765625e-05
105,75.174,74.79,0.6975368716375298,0.7159159642457962,9.765625e-05
